,Year,NY.GDP.MKTP.CD,SP.POP.TOTL,SP.DYN.LE00.IN,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,115279077465.226,147575430,69.881,BGD,Bangladesh,South Asia,Lower middle income,IDA
1,2011,128637938711.386,149273778,70.256,BGD,Bangladesh,South Asia,Lower middle income,IDA
2,2012,133355749482.478,151007807,70.606,BGD,Bangladesh,South Asia,Lower middle income,IDA
3,2013,149990451022.29,152764676,70.93,BGD,Bangladesh,South Asia,Lower middle income,IDA
4,2014,172885454931.453,154520167,71.231,BGD,Bangladesh,South Asia,Lower middle income,IDA
5,2015,195078678697.23,156256276,71.514,BGD,Bangladesh,South Asia,Lower middle income,IDA
6,2016,221415188000.475,157970840,71.785,BGD,Bangladesh,South Asia,Lower middle income,IDA
7,2017,249711027660.253,159670593,72.052,BGD,Bangladesh,South Asia,Lower middle income,IDA
8,2018,274039092455.306,161356039,72.32,BGD,Bangladesh,South Asia,Lower middle income,IDA
9,2010,3396354075663.73,81776930,79.987804878,DEU,Germany,Europe & Central Asia,High income,Not classified
10,2011,3744408602683.94,80274983,80.4365853659,DEU,Germany,Europe & Central Asia,High income,Not classified
11,2012,3527344944139.83,80425823,80.5390243902,DEU,Germany,Europe & Central Asia,High income,Not classified
12,2013,3732743446218.92,80645605,80.4902439024,DEU,Germany,Europe & Central Asia,High income,Not classified
13,2014,3883920155292.26,80982500,81.0902439024,DEU,Germany,Europe & Central Asia,High income,Not classified
14,2015,3356235704119.75,81686611,80.6414634146,DEU,Germany,Europe & Central Asia,High income,Not classified
15,2016,3467498002104.33,82348669,80.9902439024,DEU,Germany,Europe & Central Asia,High income,Not classified
16,2017,3682602479929.42,82657002,80.9926829268,DEU,Germany,Europe & Central Asia,High income,Not classified
17,2018,3963767526250.98,82905782,80.8926829268,DEU,Germany,Europe & Central Asia,High income,Not classified
18,2010,1675615335600.56,1234281170,66.693,IND,India,South Asia,Lower middle income,IBRD
19,2011,1823050405350.42,1250288729,67.13,IND,India,South Asia,Lower middle income,IBRD
20,2012,1827637859135.7,1265782790,67.545,IND,India,South Asia,Lower middle income,IBRD
21,2013,1856722121394.53,1280846129,67.931,IND,India,South Asia,Lower middle income,IBRD
22,2014,2039127446298.55,1295604184,68.286,IND,India,South Asia,Lower middle income,IBRD
23,2015,2103587817041.78,1310152403,68.607,IND,India,South Asia,Lower middle income,IBRD
24,2016,2294797978291.98,1324509589,68.897,IND,India,South Asia,Lower middle income,IBRD
25,2017,2652754685834.59,1338658835,69.165,IND,India,South Asia,Lower middle income,IBRD
26,2018,2713165057513.35,1352617328,69.416,IND,India,South Asia,Lower middle income,IBRD
27,2010,14992052727000.0,309321666,78.5414634146,USA,United States,North America,High income,Not classified
28,2011,15542581104000.0,311556874,78.6414634146,USA,United States,North America,High income,Not classified
29,2012,16197007349000.0,313830990,78.7414634146,USA,United States,North America,High income,Not classified
30,2013,16784849196000.0,315993715,78.7414634146,USA,United States,North America,High income,Not classified
31,2014,17527163695000.0,318301008,78.8414634146,USA,United States,North America,High income,Not classified
32,2015,18224704440000.0,320635163,78.6902439024,USA,United States,North America,High income,Not classified
33,2016,18714960538000.0,322941311,78.5390243902,USA,United States,North America,High income,Not classified
34,2017,19519353692000.0,324985539,78.5390243902,USA,United States,North America,High income,Not classified
35,2018,20580159776000.0,326687501,78.5390243902,USA,United States,North America,High income,Not classified
